Team,Season,Season.Type,GP,TOI,CF,CA,CF60,CA60,CF_Perc,CSh_Perc,CSv_Perc,FF,FA,FF60,FA60,FF_Perc,FSh_Perc,FSv_Perc,SF,SA,SF60,SA60,SF_Perc,Sh_Perc,Sv_Perc,xGF,xGA,xGF60,xGA60,xGF_Perc,SCF,SCA,SCF60,SCA60,SCF_Perc,xFSh_Perc,xFSv_Perc,Adj.FSv_Perc,PDO,xPDO,GF,GA,GF60,GA60,GF_Perc,FO_Perc,PENDIFF
CAR,20072008,Regular,82,689.67,971,173,84.48,15.05,84.88,7,93.64,706,155,61.42,13.48,82,9.63,92.9,500,116,43.5,10.09,81.17,13.6,90.52,64.43,9.09,5.61,0.79,87.64,226,28,19.66,2.44,88.98,9.13,94.14,-1.23,104.12,103.26,68,11,5.92,0.96,86.08,55.23,-34
CAR,20082009,Regular,82,611.61,926,130,90.84,12.75,87.69,6.37,94.62,664,108,65.14,10.59,86.01,8.89,93.52,471,82,46.21,8.04,85.17,12.53,91.46,61.03,7.46,5.99,0.73,89.11,217,27,21.29,2.65,88.93,9.19,93.1,0.42,103.99,102.29,59,7,5.79,0.69,89.39,50.95,-28
CAR,20092010,Regular,81,529.78,736,128,83.36,14.5,85.19,6.52,95.31,553,106,62.63,12,83.92,8.68,94.34,377,82,42.7,9.29,82.14,12.73,92.68,57.08,7.03,6.46,0.8,89.03,233,22,26.39,2.49,91.37,10.32,93.36,0.98,105.42,103.69,48,6,5.44,0.68,88.89,48.38,-33
CAR,20102011,Regular,82,572.92,759,125,79.49,13.09,85.86,6.19,96,557,104,58.33,10.89,84.27,8.44,95.19,403,74,42.2,7.75,84.49,11.66,93.24,51.62,6.48,5.41,0.68,88.85,199,23,20.84,2.41,89.64,9.27,93.77,1.42,104.91,103.04,47,5,4.92,0.52,90.38,47.32,-20
CAR,20112012,Regular,82,482.33,692,125,86.08,15.55,84.7,6.21,96.8,522,109,64.93,13.56,82.73,8.24,96.33,369,90,45.9,11.2,80.39,11.65,95.56,51.82,6.57,6.45,0.82,88.76,208,20,25.87,2.49,91.23,9.93,93.98,2.35,107.21,103.9,43,4,5.35,0.5,91.49,48.71,-27
CAR,20122013,Regular,48,276.2,402,62,87.33,13.47,86.64,4.98,93.55,298,51,64.74,11.08,85.39,6.71,92.16,211,36,45.84,7.82,85.43,9.48,88.89,28.13,4.18,6.11,0.91,87.07,96,16,20.85,3.48,85.71,9.44,91.81,0.35,98.37,101.25,20,4,4.34,0.87,83.33,55.32,-25
CAR,20132014,Regular,82,463.35,705,95,91.29,12.3,88.12,4.68,91.58,507,87,65.65,11.27,85.35,6.51,90.8,366,58,47.39,7.51,86.32,9.02,86.21,45.07,6.22,5.84,0.81,87.87,161,29,20.85,3.76,84.74,8.89,92.85,-2.04,95.22,101.74,33,8,4.27,1.04,80.49,54.75,-22
CAR,20142015,Regular,82,419.89,622,70,88.88,10,89.88,6.43,94.29,439,57,62.73,8.14,88.51,9.11,92.98,323,42,46.15,6,88.49,12.38,90.48,42.95,3.96,6.14,0.57,91.55,149,18,21.29,2.57,89.22,9.78,93.05,-0.07,102.86,102.83,40,4,5.72,0.57,90.91,57.56,-16
CAR,20152016,Regular,82,427.22,671,67,94.24,9.41,90.92,5.22,92.54,501,58,70.36,8.15,89.62,6.99,91.38,350,48,49.16,6.74,87.94,10,89.58,41.6,4.06,5.84,0.57,91.1,150,18,21.07,2.53,89.29,8.3,92.99,-1.61,99.58,101.3,35,5,4.92,0.7,87.5,58.54,-11
CAR,20162017,Regular,81,403.19,605,54,90.03,8.04,91.81,6.45,90.74,444,44,66.07,6.55,90.98,8.78,88.64,306,30,45.54,4.46,91.07,12.75,83.33,43.37,4.39,6.45,0.65,90.81,156,17,23.21,2.53,90.17,9.77,90.03,-1.39,96.08,99.79,39,5,5.8,0.74,88.64,61.81,-18
CBJ,20072008,Regular,82,591.24,751,85,76.21,8.63,89.83,5.99,98.82,530,72,53.79,7.31,88.04,8.49,98.61,397,55,40.29,5.58,87.83,11.34,98.18,46,3.64,4.67,0.37,92.66,176,9,17.86,0.91,95.14,8.68,94.94,3.67,109.52,103.62,45,1,4.57,0.1,97.83,56.29,-44
CBJ,20082009,Regular,82,545.6,741,111,81.49,12.21,86.97,5.26,92.79,555,93,61.03,10.23,85.65,7.03,91.4,395,70,43.44,7.7,84.95,9.87,88.57,50.58,7,5.56,0.77,87.84,193,31,21.22,3.41,86.16,9.11,92.47,-1.08,98.44,101.59,39,8,4.29,0.88,82.98,53.08,-48
CBJ,20092010,Regular,81,506.27,748,109,88.65,12.92,87.28,6.28,92.66,539,95,63.88,11.26,85.02,8.72,91.58,403,66,47.76,7.82,85.93,11.66,87.88,47.96,6.27,5.68,0.74,88.44,177,21,20.98,2.49,89.39,8.9,93.4,-1.82,99.54,102.3,47,8,5.57,0.95,85.45,57.47,-33
CBJ,20102011,Regular,82,496.38,774,81,93.56,9.79,90.53,4.39,87.65,567,70,68.54,8.46,89.01,6,85.71,412,59,49.8,7.13,87.47,8.25,83.05,52.21,4.4,6.31,0.53,92.23,202,18,24.42,2.18,91.82,9.21,93.72,-8,91.3,102.92,34,10,4.11,1.21,77.27,53.66,-30
CBJ,20112012,Regular,82,566.45,856,89,90.67,9.43,90.58,4.91,93.26,645,77,68.32,8.16,89.34,6.51,92.21,478,65,50.63,6.88,88.03,8.79,90.77,57.39,5.53,6.08,0.59,91.21,212,23,22.46,2.44,90.21,8.9,92.82,-0.61,99.56,101.72,42,6,4.45,0.64,87.5,50.44,-35
